Ranking Method,Positions,Sector Rule,Regime Schedule,CAGR,Max DD,Profit Factor,Calmar,Win Rate,Trades,Avg Trade %,Avg Exposure %,>100% Wins,Max Winner %
3M Return,15,Max 2 / Sector,Fixed 100% Exposure,35.32139243500054,-35.48543746331283,5.878846871137604,0.9953771169234735,40.57971014492754,138,46.09141063431408,78.49684466313084,22,1465.8324884313088
3M Return,15,Max 2 / Sector,Regime Schedule 1 (100/70/30),29.79035682851523,-30.49986066150195,5.7087995481018075,0.9767374729720558,42.73504273504273,117,43.95097167527483,71.81444051028433,17,1465.8324884313088
Composite Momentum,3,Unrestricted,Fixed 100% Exposure,8.666672399374997,-41.21353281486977,2.122660928399935,0.21028705397097325,32.432432432432435,37,11.356378798336673,78.36928174332222,3,266.0918054390815
Composite Momentum,3,Unrestricted,Regime Schedule 1 (100/70/30),23.15126514058945,-45.26570526115959,6.249023338458327,0.5114526550954788,42.30769230769231,26,38.22428259350655,73.76442239300636,4,376.21555021515564
Composite Momentum,3,Max 2 / Sector,Fixed 100% Exposure,8.666672399374997,-41.21353281486977,2.122660928399935,0.21028705397097325,32.432432432432435,37,11.356378798336673,78.36928174332222,3,266.0918054390815
Composite Momentum,3,Max 2 / Sector,Regime Schedule 1 (100/70/30),23.15126514058945,-45.26570526115959,6.249023338458327,0.5114526550954788,42.30769230769231,26,38.22428259350655,73.76442239300636,4,376.21555021515564
Composite Momentum,5,Unrestricted,Fixed 100% Exposure,11.00463234640272,-33.73187522498648,2.1773968536514765,0.32623838055262255,34.42622950819672,61,10.990315158479257,79.68408669590981,4,266.0918054390815
Composite Momentum,5,Unrestricted,Regime Schedule 1 (100/70/30),20.333777687031507,-34.779018334079126,5.355812666677231,0.5846564584345075,48.93617021276596,47,27.124027716346674,72.37927258624599,5,376.21555021515564
Composite Momentum,5,Max 2 / Sector,Fixed 100% Exposure,18.869879135512836,-33.35414597015791,3.2448614212154023,0.5657431358726976,40.35087719298245,57,18.755515685997324,79.95251621166683,5,401.69456783908464
Composite Momentum,5,Max 2 / Sector,Regime Schedule 1 (100/70/30),22.724569130603832,-33.081286789903416,6.074590052654427,0.6869312332052178,52.17391304347826,46,30.74529723212302,72.14203187501803,6,376.21555021515564
