date,baseline,eviction_at_45_days,eviction_at_60_days,eviction_at_90_days
2019-07-22,10567809.67,10678102.78,10567809.67,10567809.67
2019-07-23,10518401.36,10653547.21,10518401.36,10518401.36
2019-07-24,10403904.02,10586951.88,10403904.02,10403904.02
2019-07-25,10459517.45,10576750.16,10459517.45,10459517.45
2019-07-26,10469607.52,10525616.29,10469607.52,10469607.52
2019-07-29,10364036.07,10531903.56,10320722.38,10364036.07
2019-07-30,10283634.35,10482865.07,10250323.37,10283634.35
2019-07-31,10296265.57,10398902.9,10266217.47,10296265.57
2019-08-01,10294309.98,10348954.41,10244181.6,10294309.98
2019-08-02,10361340.41,10540138.5,10330749.91,10361340.41
2019-08-05,10346724.65,10636021.02,10308616.5,10346724.65
2019-08-06,10478153.39,10748339.16,10404824.34,10478153.39
2019-08-07,10527037.88,10847996.06,10527730.51,10527037.88
2019-08-08,10570045.19,10827639.22,10582391.33,10570045.19
2019-08-09,10738594.24,10840783.45,10650517.21,10738594.24
2019-08-13,10508307.72,10952306.54,10643265.57,10508307.72
2019-08-14,10566672.76,10897097.29,10537230.45,10566672.76
2019-08-16,10620314.99,10976224.86,10602229.8,10620314.99
2019-08-19,10717128.01,11051119.36,10667989.73,10717128.01
2019-08-20,10688667.51,11064209.0,10700219.31,10688667.51
2019-08-21,10547898.63,10968185.1,10601279.66,10547898.63
2019-08-22,10510058.59,11021764.81,10654641.76,10510058.59
2019-08-23,10452010.06,10954777.86,10575353.29,10452010.06
2019-08-26,10731718.3,11238358.05,10845401.05,10731718.3
2019-08-27,10742754.68,11244624.3,10929838.38,10742754.68
2019-08-28,10716727.28,11301797.05,11023435.16,10716727.28
2019-08-29,10726433.75,11300632.63,10986499.63,10726433.75
2019-08-30,10720262.31,11172467.59,10904454.52,10720262.31
2019-09-03,10756312.74,11362813.11,11043909.21,10756312.74
2019-09-04,10784108.33,11402620.12,11058848.43,10784108.33
2019-09-05,10734191.3,11397355.48,11073150.6,10734191.3
2019-09-06,10602141.38,11188510.85,10843842.12,10602141.38
2019-09-09,10654736.58,11255331.02,10874561.97,10654736.58
2019-09-11,10613966.38,11135236.4,10779571.96,10613966.38
2019-09-12,10607492.55,11072260.29,10721600.51,10607492.55
2019-09-13,10627660.23,11091297.59,10727463.87,10626945.71
2019-09-16,10625998.31,11121363.78,10760863.67,10629901.25
2019-09-17,10468936.7,11131765.45,10731868.81,10482946.92
2019-09-18,10587098.02,11099772.39,10805044.0,10544427.24
2019-09-19,10492033.0,10997582.59,10739868.97,10416157.42
2019-09-20,10786162.24,11023202.59,10800775.33,10687164.28
2019-09-23,10948082.45,11111488.08,10891196.52,10840941.02
2019-09-24,11005902.01,11145824.8,10844578.29,10886880.76
2019-09-25,10902508.38,11215006.4,10848506.75,10799208.14
2019-09-26,10885369.93,11183656.66,10834927.36,10786658.52
2019-09-27,10927200.87,11173712.2,10862212.46,10854223.2
2019-09-30,10844590.62,11130628.23,10854102.74,10758227.94
2019-10-01,10718676.77,11069616.37,10765576.44,10682513.59
2019-10-03,10695042.35,11229776.4,10911205.04,10732717.24
2019-10-04,10590397.62,11240789.24,10898535.81,10690387.36
2019-10-07,10599474.33,11210007.13,10922859.26,10710385.17
2019-10-09,10662084.33,11263301.61,10952445.66,10788398.29
2019-10-10,10623551.19,11312645.36,11002692.12,10765622.43
2019-10-11,10647797.03,11288966.56,10985119.72,10740003.92
2019-10-14,10749959.78,11292667.41,11028513.07,10774825.73
2019-10-15,10817166.68,11352443.36,11128078.21,10844334.61
2019-10-16,10825159.98,11283417.77,11084346.72,10777910.67
2019-10-17,10822122.35,11292406.27,11065251.58,10806828.34
2019-10-18,10961339.66,11237986.08,11112866.69,10906093.56
2019-10-22,10916908.31,11210690.53,11071926.76,10879701.74
